Date,Month_name,Category,Amount,month,year
2023-09-08,Sep,Food,7.5,9,2023
2023-10-08,Oct,Food,4.0,10,2023
2023-11-08,Nov,Food,4.0,11,2023
2023-08-14,Aug,Food,11.0,8,2023
2023-08-16,Aug,Food,2.0,8,2023
2023-08-17,Aug,Food,2.0,8,2023
2023-08-18,Aug,Food,4.0,8,2023
2023-08-19,Aug,Food,32.0,8,2023
2023-08-23,Aug,Food,4.0,8,2023
2023-08-24,Aug,Food,5.0,8,2023
2023-08-25,Aug,Food,47.0,8,2023
2023-08-26,Aug,Food,100.0,8,2023
2023-08-28,Aug,Food,8.0,8,2023
2023-08-29,Aug,Food,22.0,8,2023
2023-08-30,Aug,Food,18.0,8,2023
2023-08-31,Aug,Food,14.0,8,2023
2023-05-08,May,Healthcare,12.0,5,2023
2023-08-29,Aug,Healthcare,40.0,8,2023
2023-08-19,Aug,Toiletries/Groceries,544.2,8,2023
2023-08-25,Aug,Toiletries/Groceries,158.0,8,2023
2023-04-08,Apr,Transportation ,66.0,4,2023
2023-05-08,May,Transportation ,37.0,5,2023
2023-06-08,Jun,Transportation ,60.0,6,2023
2023-07-08,Jul,Transportation ,109.0,7,2023
2023-10-08,Oct,Transportation ,10.0,10,2023
2023-11-08,Nov,Transportation ,20.0,11,2023
2023-08-14,Aug,Transportation ,172.0,8,2023
2023-08-15,Aug,Transportation ,48.0,8,2023
2023-08-16,Aug,Transportation ,12.0,8,2023
2023-08-18,Aug,Transportation ,61.0,8,2023
2023-08-19,Aug,Transportation ,22.0,8,2023
2023-08-21,Aug,Transportation ,50.0,8,2023
2023-08-24,Aug,Transportation ,4.5,8,2023
2023-08-25,Aug,Transportation ,86.0,8,2023
2023-08-27,Aug,Transportation ,13.0,8,2023
2023-08-28,Aug,Transportation ,92.0,8,2023
2023-03-08,Mar,Miscellaneous,10.5,3,2023
2023-05-08,May,Miscellaneous,25.0,5,2023
2023-09-08,Sep,Miscellaneous,31.0,9,2023
2023-10-08,Oct,Miscellaneous,50.0,10,2023
2023-08-14,Aug,Miscellaneous,50.0,8,2023
2023-08-24,Aug,Miscellaneous,15.0,8,2023
2023-08-26,Aug,Apple Subscriptions,12.13,8,2023
2023-08-23,Aug,Netflix,97.44,8,2023
2023-08-23,Aug,Account Charges,5.0,8,2023
2023-08-24,Aug,Account Charges,1.0,8,2023
2023-08-25,Aug,Account Charges,1.72,8,2023
2023-08-29,Aug,Account Charges,3.0,8,2023
2023-05-10,May,Rent,6000.0,5,2023
2023-10-15,Oct,Data,330.0,10,2023
2023-10-25,Oct,Savings/ Investment ,250.0,10,2023
2023-02-10,Feb,Food,8.0,2,2023
2023-03-10,Mar,Food,7.0,3,2023
2023-04-10,Apr,Food,30.0,4,2023
2023-05-10,May,Food,8.0,5,2023
2023-06-10,Jun,Food,17.0,6,2023
2023-07-10,Jul,Food,50.0,7,2023
2023-08-10,Aug,Food,91.0,8,2023
2023-10-10,Oct,Food,8.0,10,2023
2023-11-10,Nov,Food,22.0,11,2023
2023-12-10,Dec,Food,25.0,12,2023
2023-10-14,Oct,Food,23.0,10,2023
