Category,Day,Amount,Date,Month
Hair / Gym,17,,17/01/2023,JAN
Hair / Gym,18,,18/01/2023,JAN
Hair / Gym,19,,19/01/2023,JAN
Hair / Gym,20,,20/01/2023,JAN
Hair / Gym,21,,21/01/2023,JAN
Hair / Gym,22,,22/01/2023,JAN
Hair / Gym,23,,23/01/2023,JAN
Hair / Gym,24,,24/01/2023,JAN
Hair / Gym,25,,25/01/2023,JAN
Hair / Gym,26,,26/01/2023,JAN
Hair / Gym,27,,27/01/2023,JAN
Hair / Gym,28,,28/01/2023,JAN
Hair / Gym,29,,29/01/2023,JAN
Hair / Gym,30,,30/01/2023,JAN
Hair / Gym,31,,31/01/2023,JAN
Food,1,,01/01/2023,JAN
Food,2,,02/01/2023,JAN
Food,3,,03/01/2023,JAN
Food,4,,04/01/2023,JAN
Food,5,,05/01/2023,JAN
Food,6,,06/01/2023,JAN
Food,7,,07/01/2023,JAN
Food,8,,08/01/2023,JAN
Food,9,,09/01/2023,JAN
Food,10,,10/01/2023,JAN
Food,11,,11/01/2023,JAN
Food,12,,12/01/2023,JAN
Food,13,,13/01/2023,JAN
Food,14,,14/01/2023,JAN
Food,15,,15/01/2023,JAN
Food,16,5,16/01/2023,JAN
Food,17,,17/01/2023,JAN
Food,18,48,18/01/2023,JAN
Food,19,15,19/01/2023,JAN
Food,20,104.31,20/01/2023,JAN
Food,21,76,21/01/2023,JAN
Food,22,46,22/01/2023,JAN
Food,23,16,23/01/2023,JAN
Food,24,15,24/01/2023,JAN
Food,25,66.21,25/01/2023,JAN
Food,26,8,26/01/2023,JAN
Food,27,35.5,27/01/2023,JAN
Food,28,,28/01/2023,JAN
Food,29,35,29/01/2023,JAN
Food,30,,30/01/2023,JAN
Food,31,,31/01/2023,JAN
Healthcare,1,,01/01/2023,JAN
Healthcare,2,,02/01/2023,JAN
Healthcare,3,,03/01/2023,JAN
Healthcare,4,,04/01/2023,JAN
Healthcare,5,,05/01/2023,JAN
Healthcare,6,,06/01/2023,JAN
Healthcare,7,,07/01/2023,JAN
Healthcare,8,,08/01/2023,JAN
Healthcare,9,,09/01/2023,JAN
Healthcare,10,,10/01/2023,JAN
Healthcare,11,,11/01/2023,JAN
Healthcare,12,,12/01/2023,JAN
Healthcare,13,,13/01/2023,JAN
Healthcare,14,,14/01/2023,JAN
Healthcare,15,,15/01/2023,JAN
Healthcare,16,25,16/01/2023,JAN
Healthcare,17,,17/01/2023,JAN
Healthcare,18,,18/01/2023,JAN
Healthcare,19,,19/01/2023,JAN
Healthcare,20,,20/01/2023,JAN
Healthcare,21,,21/01/2023,JAN
Healthcare,22,,22/01/2023,JAN
Healthcare,23,,23/01/2023,JAN
Healthcare,24,,24/01/2023,JAN
Healthcare,25,,25/01/2023,JAN
Healthcare,26,,26/01/2023,JAN
Healthcare,27,,27/01/2023,JAN
Healthcare,28,,28/01/2023,JAN
Healthcare,29,,29/01/2023,JAN
Healthcare,30,,30/01/2023,JAN
Healthcare,31,,31/01/2023,JAN
Clothes/ Shoes/ Jewelry ,1,,01/01/2023,JAN
Clothes/ Shoes/ Jewelry ,2,,02/01/2023,JAN
Clothes/ Shoes/ Jewelry ,3,,03/01/2023,JAN
Clothes/ Shoes/ Jewelry ,4,,04/01/2023,JAN
Clothes/ Shoes/ Jewelry ,5,,05/01/2023,JAN
Clothes/ Shoes/ Jewelry ,6,,06/01/2023,JAN
Clothes/ Shoes/ Jewelry ,7,,07/01/2023,JAN
Clothes/ Shoes/ Jewelry ,8,,08/01/2023,JAN
Clothes/ Shoes/ Jewelry ,9,,09/01/2023,JAN
Clothes/ Shoes/ Jewelry ,10,,10/01/2023,JAN
Clothes/ Shoes/ Jewelry ,11,,11/01/2023,JAN
Clothes/ Shoes/ Jewelry ,12,,12/01/2023,JAN
Clothes/ Shoes/ Jewelry ,13,,13/01/2023,JAN
Clothes/ Shoes/ Jewelry ,14,,14/01/2023,JAN
Clothes/ Shoes/ Jewelry ,15,,15/01/2023,JAN
Clothes/ Shoes/ Jewelry ,16,,16/01/2023,JAN
Clothes/ Shoes/ Jewelry ,17,,17/01/2023,JAN
Clothes/ Shoes/ Jewelry ,18,,18/01/2023,JAN
Clothes/ Shoes/ Jewelry ,19,,19/01/2023,JAN
Clothes/ Shoes/ Jewelry ,20,,20/01/2023,JAN
Clothes/ Shoes/ Jewelry ,21,,21/01/2023,JAN
Clothes/ Shoes/ Jewelry ,22,,22/01/2023,JAN
Clothes/ Shoes/ Jewelry ,23,,23/01/2023,JAN
Clothes/ Shoes/ Jewelry ,24,,24/01/2023,JAN
Clothes/ Shoes/ Jewelry ,25,,25/01/2023,JAN
Clothes/ Shoes/ Jewelry ,26,,26/01/2023,JAN
Clothes/ Shoes/ Jewelry ,27,,27/01/2023,JAN
Clothes/ Shoes/ Jewelry ,28,230,28/01/2023,JAN
Clothes/ Shoes/ Jewelry ,29,,29/01/2023,JAN
Clothes/ Shoes/ Jewelry ,30,,30/01/2023,JAN
Clothes/ Shoes/ Jewelry ,31,,31/01/2023,JAN
shoes,1,,01/01/2023,JAN
shoes,2,,02/01/2023,JAN
shoes,3,,03/01/2023,JAN
shoes,4,,04/01/2023,JAN
shoes,5,,05/01/2023,JAN
shoes,6,,06/01/2023,JAN
shoes,7,,07/01/2023,JAN
shoes,8,,08/01/2023,JAN
shoes,9,,09/01/2023,JAN
shoes,10,,10/01/2023,JAN
shoes,11,,11/01/2023,JAN
shoes,12,,12/01/2023,JAN
shoes,13,,13/01/2023,JAN
